iter	Passed	Remaining
893	47897	5679
894	47952	5625
895	48005	5572
896	48057	5518
897	48115	5465
898	48170	5411
899	48224	5358
900	48280	5304
901	48346	5252
902	48404	5199
903	48457	5145
904	48539	5095
905	48608	5043
906	48659	4989
907	48715	4935
908	48766	4882
909	48824	4828
910	48876	4774
911	48931	4721
912	48985	4667
913	49041	4614
914	49092	4560
915	49146	4506
916	49199	4453
917	49254	4399
918	49308	4345
919	49362	4292
920	49419	4238
921	49476	4185
922	49543	4133
923	49598	4079
924	49653	4025
925	49712	3972
926	49767	3919
927	49819	3865
928	49875	3811
929	49927	3758
930	49981	3704
931	50034	3650
932	50084	3596
933	50137	3542
934	50194	3489
935	50256	3436
936	50307	3382
937	50360	3328
938	50413	3275
939	50467	3221
940	50519	3167
941	50574	3113
942	50629	3060
943	50687	3006
944	50743	2953
945	50799	2899
946	50848	2845
947	50904	2792
948	50957	2738
949	51016	2685
950	51068	2631
951	51130	2578
952	51187	2524
953	51244	2470
954	51295	2417
955	51351	2363
956	51406	2309
957	51460	2256
958	51517	2202
959	51572	2148
960	51622	2094
961	51677	2041
962	51729	1987
963	51779	1933
964	51830	1879
965	51887	1826
966	51938	1772
967	51992	1718
968	52047	1665
969	52103	1611
970	52158	1557
971	52214	1504
972	52270	1450
973	52326	1396
974	52385	1343
975	52441	1289
976	52499	1235
977	52553	1182
978	52607	1128
979	52661	1074
980	52715	1021
981	52771	967
982	52825	913
983	52880	859
984	52940	806
985	52992	752
986	53043	698
987	53099	644
988	53152	591
989	53207	537
990	53260	483
991	53314	429
992	53368	376
993	53422	322
994	53478	268
995	53536	215
996	53590	161
997	53641	107
998	53694	53
999	53748	0
